QueryId,Tokens,Tokens_Old,Tags_Pred,Tags_Labeled,Spans_Pred,Spans_Labeled,SpansId_Pred,SpansId_Labeled,OrderId
0,▁G,▁G,B-PERSON,B-ORG,Gaju,Gaju,0,0,0
0,aju,aju,I-PERSON,I-ORG,Gaju,Gaju,0,0,1
0,▁is,▁is,O,O,None,None,-1,-1,2
0,▁the,▁the,O,O,None,None,-1,-1,3
0,▁given,▁given,O,O,None,None,-1,-1,4
0,▁name,▁name,O,O,None,None,-1,-1,5
0,▁of,▁of,O,O,None,None,-1,-1,6
0,▁which,▁which,O,O,None,None,-1,-1,7
0,▁client,▁client,O,O,None,None,-1,-1,8
0,▁profile,▁profile,O,O,None,None,-1,-1,9
0,?,?,O,O,None,None,-1,-1,10
1,▁The,▁The,O,O,None,None,-1,-1,11
1,▁primary,▁primary,O,O,None,None,-1,-1,12
1,▁phone,▁phone,O,O,None,None,-1,-1,13
1,▁is,▁is,O,O,None,None,-1,-1,14
1,▁4,▁4,O,B-CARDINAL,None,4256668888,-1,4,15
1,256,256,O,I-CARDINAL,None,4256668888,-1,4,16
1,668,668,O,I-CARDINAL,None,4256668888,-1,4,17
1,888,888,O,I-CARDINAL,None,4256668888,-1,4,18
1,▁for,▁for,O,O,None,None,-1,-1,19
1,▁which,▁which,O,O,None,None,-1,-1,20
1,▁customers,▁customers,O,O,None,None,-1,-1,21
1,▁who,▁who,O,O,None,None,-1,-1,22
1,▁prefer,▁prefer,O,O,None,None,-1,-1,23
1,▁to,▁to,O,O,None,None,-1,-1,24
1,▁be,▁be,O,O,None,None,-1,-1,25
1,▁called,▁called,O,O,None,None,-1,-1,26
1,▁johnson,▁johnson,B-PERSON,B-PERSON,johnson,johnson,16,16,27
1,?,?,O,O,None,None,-1,-1,28
2,▁Pick,▁Pick,O,O,None,None,-1,-1,29
2,▁out,▁out,O,O,None,None,-1,-1,30
2,▁the,▁the,O,O,None,None,-1,-1,31
2,▁customer,▁customer,O,O,None,None,-1,-1,32
2,▁profile,▁profile,O,O,None,None,-1,-1,33
2,▁with,▁with,O,O,None,None,-1,-1,34
2,▁a,▁a,O,O,None,None,-1,-1,35
2,▁sentiment,▁sentiment,O,O,None,None,-1,-1,36
2,▁rating,▁rating,O,O,None,None,-1,-1,37
2,▁above,▁above,O,B-CARDINAL,None,above 90,-1,9,38
2,▁90,▁90,B-CARDINAL,I-CARDINAL,90,above 90,10,9,39
2,▁and,▁and,O,O,None,None,-1,-1,40
2,▁a,▁a,O,O,None,None,-1,-1,41
2,▁satisfaction,▁satisfaction,O,O,None,None,-1,-1,42
2,▁rating,▁rating,O,O,None,None,-1,-1,43
2,▁over,▁over,O,B-CARDINAL,None,over 80,-1,15,44
2,▁80,▁80,B-CARDINAL,I-CARDINAL,80,over 80,16,15,45
2,.,.,O,O,None,None,-1,-1,46
3,▁ceo,▁ceo,O,O,None,None,-1,-1,47
3,▁is,▁is,O,O,None,None,-1,-1,48
3,▁the,▁the,O,O,None,None,-1,-1,49
3,▁position,▁position,O,O,None,None,-1,-1,50
3,▁of,▁of,O,O,None,None,-1,-1,51
3,▁which,▁which,O,O,None,None,-1,-1,52
3,▁customer,▁customer,O,O,None,None,-1,-1,53
3,▁profile,▁profile,O,O,None,None,-1,-1,54
3,?,?,O,O,None,None,-1,-1,55
4,▁Shows,▁Shows,O,O,None,None,-1,-1,56
4,▁the,▁the,O,O,None,None,-1,-1,57
4,▁customers,▁customers,O,O,None,None,-1,-1,58
4,▁who,▁who,O,O,None,None,-1,-1,59
4,▁have,▁have,O,O,None,None,-1,-1,60
4,▁more,▁more,B-CARDINAL,B-CARDINAL,more than 3,more than 3,5,5,61
4,▁than,▁than,I-CARDINAL,I-CARDINAL,more than 3,more than 3,5,5,62
4,▁3,▁3,I-CARDINAL,I-CARDINAL,more than 3,more than 3,5,5,63
4,▁children,▁children,O,O,None,None,-1,-1,64
4,▁and,▁and,O,O,None,None,-1,-1,65
4,▁who,▁who,O,O,None,None,-1,-1,66
4,▁have,▁have,O,O,None,None,-1,-1,67
4,▁ceo,▁ceo,O,O,None,None,-1,-1,68
4,▁as,▁as,O,O,None,None,-1,-1,69
4,▁their,▁their,O,O,None,None,-1,-1,70
4,▁job,▁job,O,O,None,None,-1,-1,71
4,▁title,▁title,O,O,None,None,-1,-1,72
4,.,.,O,O,None,None,-1,-1,73
5,▁test,▁test,O,O,None,None,-1,-1,74
5,empty,empty,O,O,None,None,-1,-1,75
5,result,result,O,O,None,None,-1,-1,76
6,▁Find,▁Find,O,O,None,None,-1,-1,77
6,▁customers,▁customers,O,O,None,None,-1,-1,78
6,▁with,▁with,O,O,None,None,-1,-1,79
6,▁an,▁an,O,O,None,None,-1,-1,80
6,▁annual,▁annual,O,O,None,None,-1,-1,81
6,▁income,▁income,O,O,None,None,-1,-1,82
6,▁less,▁less,B-CARDINAL,B-CARDINAL,less than 10000,less than 10000,6,6,83
6,▁than,▁than,I-CARDINAL,I-CARDINAL,less than 10000,less than 10000,6,6,84
6,▁10000,▁10000,I-CARDINAL,I-CARDINAL,less than 10000,less than 10000,6,6,85
6,.,.,O,O,None,None,-1,-1,86
7,▁Show,▁Show,O,O,None,None,-1,-1,87
7,▁all,▁all,O,O,None,None,-1,-1,88
7,▁the,▁the,O,O,None,None,-1,-1,89
7,▁customer,▁customer,O,O,None,None,-1,-1,90
7,▁whose,▁whose,O,O,None,None,-1,-1,91
7,▁preferred,▁preferred,O,O,None,None,-1,-1,92
7,▁contact,▁contact,O,O,None,None,-1,-1,93
7,▁method,▁method,O,O,None,None,-1,-1,94
7,▁is,▁is,O,O,None,None,-1,-1,95
7,▁email,▁email,O,O,None,None,-1,-1,96
7,.,.,O,O,None,None,-1,-1,97
8,▁contact,▁contact,O,O,None,None,-1,-1,98
8,▁given,▁given,O,O,None,None,-1,-1,99
8,▁name,▁name,O,O,None,None,-1,-1,100
8,▁doesn,▁doesn,O,O,None,None,-1,-1,101
8,',',O,O,None,None,-1,-1,102
8,t,t,O,O,None,None,-1,-1,103
8,▁contains,▁contains,O,O,None,None,-1,-1,104
8,▁mike,▁mike,B-PERSON,B-PERSON,mike,mike,7,7,105
9,▁Make,▁Make,O,O,None,None,-1,-1,106
9,▁a,▁a,O,O,None,None,-1,-1,107
9,▁list,▁list,O,O,None,None,-1,-1,108
9,▁of,▁of,O,O,None,None,-1,-1,109
9,▁customers,▁customers,O,O,None,None,-1,-1,110
9,▁with,▁with,O,O,None,None,-1,-1,111
9,▁an,▁an,O,O,None,None,-1,-1,112
9,▁engagement,▁engagement,O,O,None,None,-1,-1,113
9,▁score,▁score,O,O,None,None,-1,-1,114
9,▁higher,▁higher,B-CARDINAL,B-CARDINAL,higher,higher than 10,9,9,115
9,▁than,▁than,O,I-CARDINAL,None,higher than 10,-1,9,116
9,▁10,▁10,B-CARDINAL,I-CARDINAL,10,higher than 10,11,9,117
9,.,.,O,O,None,None,-1,-1,118
10,▁customers,▁customers,O,O,None,None,-1,-1,119
10,▁living,▁living,O,O,None,None,-1,-1,120
10,▁in,▁in,O,O,None,None,-1,-1,121
10,▁Seattle,▁Seattle,B-GPE,B-GPE,Seattle,Seattle,3,3,122
11,▁which,▁which,O,O,None,None,-1,-1,123
11,▁customer,▁customer,O,O,None,None,-1,-1,124
11,profile,profile,O,O,None,None,-1,-1,125
11,',',O,O,None,None,-1,-1,126
11,s,s,O,O,None,None,-1,-1,127
11,▁that,▁that,O,O,None,None,-1,-1,128
11,▁has,▁has,O,O,None,None,-1,-1,129
11,▁exchange,▁exchange,O,O,None,None,-1,-1,130
11,rate,rate,O,O,None,None,-1,-1,131
11,▁as,▁as,O,O,None,None,-1,-1,132
11,▁1,▁1,B-CARDINAL,B-CARDINAL,1,1.1,10,10,133
11,.,.,O,I-CARDINAL,None,1.1,-1,10,134
11,1,1,I-CARDINAL,I-CARDINAL,None,1.1,-1,10,135
11,?,?,O,O,None,None,-1,-1,136
12,▁Which,▁Which,O,O,None,None,-1,-1,137
12,▁customers,▁customers,O,O,None,None,-1,-1,138
12,▁identify,▁identify,O,O,None,None,-1,-1,139
12,▁as,▁as,O,O,None,None,-1,-1,140
12,▁women,▁women,O,O,None,None,-1,-1,141
12,?,?,O,O,None,None,-1,-1,142
13,▁contact,▁contact,O,O,None,None,-1,-1,143
13,▁whose,▁whose,O,O,None,None,-1,-1,144
13,▁full,▁full,O,O,None,None,-1,-1,145
13,▁name,▁name,O,O,None,None,-1,-1,146
13,▁contains,▁contains,O,O,None,None,-1,-1,147
13,▁mike,▁mike,B-PERSON,B-PERSON,mike,mike,5,5,148
14,▁Customers,▁Customers,O,O,None,None,-1,-1,149
14,▁that,▁that,O,O,None,None,-1,-1,150
14,▁live,▁live,O,O,None,None,-1,-1,151
14,▁in,▁in,O,O,None,None,-1,-1,152
14,▁canada,▁canada,B-GPE,B-GPE,canada,canada,4,4,153
15,▁lead,▁lead,O,O,None,None,-1,-1,154
15,▁has,▁has,O,O,None,None,-1,-1,155
15,▁less,▁less,B-CARDINAL,B-CARDINAL,less than 1000,less than 1000,2,2,156
15,▁than,▁than,I-CARDINAL,I-CARDINAL,less than 1000,less than 1000,2,2,157
15,▁1000,▁1000,I-CARDINAL,I-CARDINAL,less than 1000,less than 1000,2,2,158
15,▁Employees,▁Employees,O,O,None,None,-1,-1,159
16,▁contact,▁contact,O,O,None,None,-1,-1,160
16,▁Do,▁Do,O,O,None,None,-1,-1,161
16,not,not,O,O,None,None,-1,-1,162
16,allow,allow,O,O,None,None,-1,-1,163
16,bulk,bulk,O,O,None,None,-1,-1,164
16,email,email,O,O,None,None,-1,-1,165
16,▁is,▁is,O,O,None,None,-1,-1,166
16,▁true,▁true,O,O,None,None,-1,-1,167
17,▁which,▁which,O,O,None,None,-1,-1,168
17,▁customer,▁customer,O,O,None,None,-1,-1,169
17,▁profile,▁profile,O,O,None,None,-1,-1,170
17,',',O,O,None,None,-1,-1,171
17,s,s,O,O,None,None,-1,-1,172
17,▁Time,▁Time,O,O,None,None,-1,-1,173
17,▁is,▁is,O,O,None,None,-1,-1,174
17,▁equal,▁equal,O,B-CARDINAL,None,equal or more than 100,-1,7,175
17,▁or,▁or,O,I-CARDINAL,None,equal or more than 100,-1,7,176
17,▁more,▁more,B-CARDINAL,I-CARDINAL,more than 100,equal or more than 100,9,7,177
17,▁than,▁than,I-CARDINAL,I-CARDINAL,more than 100,equal or more than 100,9,7,178
17,▁100,▁100,I-CARDINAL,I-CARDINAL,more than 100,equal or more than 100,9,7,179
18,▁contact,▁contact,O,O,None,None,-1,-1,180
18,▁Do,▁Do,O,O,None,None,-1,-1,181
18,Not,Not,O,O,None,None,-1,-1,182
18,Send,Send,O,O,None,None,-1,-1,183
18,Marketing,Marketing,O,O,None,None,-1,-1,184
18,Material,Material,O,O,None,None,-1,-1,185
18,s,s,O,O,None,None,-1,-1,186
18,▁is,▁is,O,O,None,None,-1,-1,187
18,▁true,▁true,O,O,None,None,-1,-1,188
19,▁open,▁open,O,O,None,None,-1,-1,189
19,▁lead,▁lead,O,O,None,None,-1,-1,190
19,▁with,▁with,O,O,None,None,-1,-1,191
19,▁budget,▁budget,O,O,None,None,-1,-1,192
19,con,con,O,O,None,None,-1,-1,193
19,strain,strain,O,O,None,None,-1,-1,194
19,t,t,O,O,None,None,-1,-1,195
19,▁less,▁less,B-MONEY,B-MONEY,less than 20k,less than 20k,7,7,196
19,▁than,▁than,I-MONEY,I-MONEY,less than 20k,less than 20k,7,7,197
19,▁20,▁20,I-MONEY,I-MONEY,less than 20k,less than 20k,7,7,198
19,k,k,I-MONEY,I-MONEY,less than 20k,less than 20k,7,7,199
19,▁and,▁and,O,O,None,None,-1,-1,200
19,▁status,▁status,O,O,None,None,-1,-1,201
19,▁is,▁is,O,O,None,None,-1,-1,202
19,▁Will,▁Will,O,O,None,None,-1,-1,203
19,▁Buy,▁Buy,O,O,None,None,-1,-1,204
20,▁Which,▁Which,O,O,None,None,-1,-1,205
20,▁customer,▁customer,O,O,None,None,-1,-1,206
20,▁can,▁can,O,O,None,None,-1,-1,207
20,▁be,▁be,O,O,None,None,-1,-1,208
20,▁faxed,▁faxed,O,O,None,None,-1,-1,209
